State,Month,Year,Cant. De ATMs,Transaciones a traves de Celular,Cant. De Contratos de Tarjeta de Credito,Cant. Sucursal
Aguascalientes,1,2018,598,"154,650","287,226",128
Baja California,1,2018,"1,988","612,280","809,515",378
Baja California Sur,1,2018,534,"147,746","194,778",115
Campeche,1,2018,364,"136,280","143,499",100
Chiapas,1,2018,823,"427,868","427,158",253
Chihuahua,1,2018,"1,858","503,922","757,241",397
Ciudad de Mexico (antes Distrito Federal modificado 03/02/2016),1,2018,"7,710","2,864,242","5,807,960","1,796"
Coahuila de Zaragoza,1,2018,"1,738","422,333","588,847",347
Colima,1,2018,343,"103,646","190,192",96
Durango,1,2018,586,"241,052","261,290",132
Guanajuato,1,2018,"1,975","440,835","1,091,698",587
Guerrero,1,2018,778,"334,154","402,890",246
Hidalgo,1,2018,777,"291,121","427,713",215
Jalisco,1,2018,"3,502","1,016,760","2,124,609","1,047"
México,1,2018,"4,808","1,247,967","3,304,033","1,374"
Michoacán de Ocampo,1,2018,"1,191","463,698","824,633",418
Migración,1,2018,,,,
Morelos,1,2018,702,"224,729","423,645",227
Nayarit,1,2018,500,"144,278","226,678",122
Nuevo León,1,2018,"3,965","663,147","1,526,436",874
Oaxaca,1,2018,861,"244,294","375,990",268
Puebla,1,2018,"1,566","652,427","959,639",514
Querétaro,1,2018,"1,072","257,088","502,585",236
Quintana Roo,1,2018,"1,474","278,004","372,657",207
San Luis Potosí,1,2018,893,"255,915","428,911",226
Sinaloa,1,2018,"1,216","516,306","742,616",352
Sonora,1,2018,"1,388","609,965","622,622",340
Tabasco,1,2018,722,"350,307","337,906",216
Tamaulipas,1,2018,"1,828","476,518","723,456",402
Tlaxcala,1,2018,308,"123,269","164,676",87
Veracruz de Ignacio de la Llave,1,2018,"2,453","1,073,109","1,325,278",702
Yucatán,1,2018,826,"270,824","438,826",231
Zacatecas,1,2018,406,"136,708","210,998",124
Aguascalientes,2,2018,612,"160,733","286,819",127
Baja California,2,2018,"2,006","629,259","811,808",378
Baja California Sur,2,2018,546,"151,604","195,433",115
Campeche,2,2018,362,"140,361","143,724",100
Chiapas,2,2018,826,"439,857","424,391",253
Chihuahua,2,2018,"1,862","518,255","759,526",398
Ciudad de Mexico (antes Distrito Federal modificado 03/02/2016),2,2018,"7,731","3,028,411","5,831,470","1,796"
Coahuila de Zaragoza,2,2018,"1,745","436,650","590,940",347
Colima,2,2018,345,"107,470","189,762",96
Durango,2,2018,583,"248,279","261,013",132
Guanajuato,2,2018,"1,986","459,153","1,092,733",587
Guerrero,2,2018,777,"343,888","405,641",246
Hidalgo,2,2018,786,"299,714","429,229",215
Jalisco,2,2018,"3,483","1,050,294","2,129,936","1,047"
México,2,2018,"4,825","1,274,062","3,311,160","1,374"
Michoacán de Ocampo,2,2018,"1,192","471,956","826,403",418
Migración,2,2018,,,,
Morelos,2,2018,712,"232,293","423,975",227
Nayarit,2,2018,489,"148,798","226,606",122
Nuevo León,2,2018,"3,968","703,074","1,528,966",875
Oaxaca,2,2018,860,"250,910","379,027",268
Puebla,2,2018,"1,574","670,667","962,496",514
