,State,Crec. ATMs,Crec. Transacciones por Celular,Crec. Tarjetas de Credito,Crec. Surcursales,Cant. ATMs,Cant.Transacciones por Celular,Cant. Tarjetas de Credito,Cant. Surcursales
0,Aguascalientes,8.193979933110374,66.6395085677336,-3.5884634399392823,3.90625,647,257708,276919,133
1,Baja California,9.808853118712268,51.5341020448161,-4.822146593948229,0.5291005291005346,2183,927813,770479,380
2,Baja California Sur,8.052434456928847,47.81246192790329,-3.4988551068395823,0.8695652173912993,577,218387,187963,116
3,Campeche,3.296703296703307,46.07205752861756,-4.086439626756977,-4.0000000000000036,376,199067,137635,96
4,Chiapas,7.411907654921013,43.58587227836623,-12.307623876879282,1.5810276679841806,884,614358,374585,257
5,Chihuahua,8.880516684607098,60.91518131774363,1.7921639213935858,0.7556675062972307,2023,810887,770812,400
6,Ciudad de Mexico (antes Distrito Federal modificado 03/02/2016),7.016861219195847,79.5704762376922,0.9460981136233615,-0.16703786191536452,8251,5143333,5862909,1793
7,Coahuila de Zaragoza,5.063291139240511,53.4765220809172,-2.3282788228521145,-0.5763688760806907,1826,648182,575137,345
8,Colima,4.956268221574334,62.238774289408184,-7.9283040296121765,-1.041666666666663,360,168154,175113,95
9,Durango,5.802047781569963,43.382340739757396,-7.071453174633547,0.7575757575757569,620,345626,242813,133
10,Guanajuato,7.594936708860756,66.94931210089943,-4.52267934905074,0.5110732538330387,2125,735971,1042324,590
11,Guerrero,7.197943444730082,51.46878385415108,-3.7124277097967173,2.0325203252032464,834,506139,387933,251
12,Hidalgo,11.068211068211076,53.47604604271077,-1.303677933567604,0.46511627906977715,863,446801,422137,216
13,Jalisco,6.167904054825812,64.5017506589559,2.63013100292806,-0.6685768863419317,3718,1672588,2180489,1040
14,México,7.633111480865229,64.07485133821646,5.750366294767639,0.9461426491994107,5175,2047600,3494027,1387
15,Michoacán de Ocampo,8.732157850545752,34.34670841797893,-1.3179196078740518,0.9569377990430672,1295,622963,813765,422
16,Morelos,9.116809116809122,61.38371104752836,4.1530054644808745,0.4405286343612369,766,362676,441239,228
17,Nayarit,3.200000000000003,53.28116552766187,0.057350073672779445,-0.8196721311475419,516,221151,226808,121
18,Nuevo León,5.548549810844894,79.23703190996866,7.269417125906363,-0.3432494279176246,4185,1188605,1637399,871
19,Oaxaca,5.691056910569103,61.255290756219964,8.864863427218816,0.746268656716409,910,393937,409321,270
20,Puebla,9.259259259259256,53.94457924028282,1.4531506118446558,-0.5836575875486361,1711,1004376,973584,511
21,Querétaro,5.7835820895522305,64.55143764002986,9.781032064227935,0.8474576271186418,1134,423042,551743,238
22,Quintana Roo,5.630936227951144,70.35546251133078,5.492986848496062,7.729468599033806,1557,473595,393127,223
23,San Luis Potosí,8.28667413213886,39.9101264091593,5.568987505566425,-0.4424778761061954,967,358051,452797,225
24,Sinaloa,8.305921052631572,39.335006759557324,7.629245801329354,1.7045454545454586,1317,719395,799272,358
25,Sonora,7.204610951008639,36.664398776979,11.001859876457942,-0.2941176470588225,1488,833605,691122,339
26,Tabasco,7.617728531855961,45.163527991162034,11.51148544269709,-0.462962962962965,777,508518,376804,215
27,Tamaulipas,6.345733041575485,60.383448264283835,9.2181141631281,0.746268656716409,1944,764256,790145,405
28,Tlaxcala,7.467532467532467,49.48689451524715,21.855036556632413,0.0,331,184271,200666,87
29,Veracruz de Ignacio de la Llave,4.402772115776599,32.85751959959333,18.292690288377234,-1.9943019943019946,2561,1425706,1567707,688
30,Yucatán,10.2905569007264,38.55234395769946,-5.663976154557848,1.7316017316017396,911,375233,413971,235
31,Zacatecas,7.881773399014769,45.85905726073089,-14.35985175214931,0.0,438,199401,180699,124
