,Region,2017,last year growth
1,Aguascalientes,0.794,0.25252525252525276
2,Baja California,0.8029999999999999,0.2496878901373286
3,Baja California Sur,0.8109999999999999,0.2472187886279222
4,Campeche,0.762,0.1314060446780699
5,Chiapas,0.7,0.28653295128939854
6,Chihuahua,0.7929999999999999,0.2528445006321115
7,Coahuila,0.799,0.2509410288582185
8,Colima,0.7829999999999999,0.25608194622279157
9,Distrito Federal,0.83,0.241545893719807
10,Durango,0.775,0.2587322121604142
11,Guanajuato,0.757,0.1322751322751471
12,Guerrero,0.7170000000000001,0.2797202797202955
13,Hidalgo,0.7609999999999999,0.26350461133068387
14,Jalisco,0.7879999999999999,0.2544529262086517
15,Mexico,0.782,0.2564102564102566
16,Michoacan de Ocampo,0.745,0.2691790040376853
17,Morelos,0.775,0.2587322121604142
18,Nayarit,0.785,0.25542784163475263
19,Nuevo Leon,0.8079999999999999,0.2481389578163774
20,Oaxaca,0.71,0.282485875706215
21,Puebla,0.742,0.2702702702702705
22,Queretaro,0.79,0.25380710659899913
23,Quintana Roo,0.7809999999999999,0.2567394094993441
24,San Luis Potosi,0.757,0.26490066225165587
25,Sinaloa,0.804,0.12453300124534396
26,Sonora,0.8059999999999999,0.24875621890545904
27,Tabasco,0.773,0.38961038961038996
28,Tamaulipas,0.792,0.25316455696202556
29,Tlaxcala,0.77,0.2604166666666669
30,Veracruz,0.7440000000000001,0.26954177897575643
31,Yucatan,0.773,0.25940337224385385
32,Zacatecas,0.76,0.26385224274406355
