,ESTADO,PROY_CREC,PROY_EV,POB2018,EV2018
0,Aguascalientes,-13.791706749025368,1.0964332892998696,1395794,75.7
1,Baja California,-12.666978128460682,1.0955649419218672,3521242,75.76
2,Baja California Sur,-10.576441102756895,1.123744050766784,771294,75.64
3,Campeche,-8.042290330244716,1.315083199141176,967319,74.52
4,Coahuila,-9.64764910209549,1.1393746687864414,3132017,75.48
5,Colima,-12.516813039006248,1.1553784860557803,760333,75.3
6,Chiapas,-7.438804674606015,1.377447670492904,5563869,74.05
7,Chihuahua,-20.724704639957757,1.1835106382978688,3727984,75.2
8,Ciudad de México,182.40671961602195,1.0208087946603772,9041395,76.41
9,Durango,-16.046309348849764,1.2146289375333685,1836460,74.92
10,Guanajuato,-23.76817394784697,1.21317157712304,6117205,75.01
11,Guerrero,-49.01398839986353,1.5197152245344903,3629733,73.04
12,Hidalgo,-13.896191895920861,1.2419871794871806,3014258,74.88
13,Jalisco,-20.818974831394222,1.1688139195112246,8238991,75.29
14,México,-24.140458452014578,1.1558389796731738,17056666,75.27
15,Michoacán,-21.482436991466557,1.2727759914255232,4757482,74.64
16,Morelos,-17.464542973468745,1.2126865671641784,2000527,75.04
17,Nayarit,-11.800466807794606,1.1846133368827338,1252363,75.13
18,Nuevo León,-11.471279067558926,1.0961436872688912,5454848,75.72
19,Oaxaca,-23.804123711340207,1.3933982683982604,4096998,73.92
20,Puebla,-17.795704051522364,1.2866907921190052,6478819,74.61
21,Querétaro,-11.594237810753516,1.1396766498807276,2197938,75.46
22,Quintana Roo,-10.781242104199308,1.1556854410202044,1645237,75.28
23,San Luis Potosí,-20.55200189528548,1.2722646310432628,2825157,74.67
24,Sinaloa,-18.919575000466825,1.2281404351888847,3104610,74.91
25,Sonora,-10.869048562148464,1.183825485501444,3000127,75.18
26,Tabasco,-13.811503811503812,1.256180676199392,2515926,74.83
27,Tamaulipas,-15.05273715542902,1.1995201919232423,3590486,75.03
28,Tlaxcala,-14.54323623608358,1.2258494337108683,1347932,75.05
29,Veracruz,-35.030309532750394,1.3318982914031885,8434163,74.33
30,Yucatán,-11.366758906283259,1.3161428955143828,2208236,74.46
31,Zacatecas,-18.7774509408873,1.2698837053869871,1642388,74.81
